episode,reward
0,-13.529999999999994
1,-2.089999999999999
2,-31.690000000000033
3,-1.3099999999999934
4,-19.809999999999995
5,-18.819999999999997
6,-22.780000000000026
7,-8.629999999999988
8,-15.69000000000003
9,-2.2299999999999978
10,-11.729999999999984
11,-1.1899999999999986
12,-2.2499999999999973
13,-1.2499999999999973
14,-7.149999999999997
15,-18.820000000000054
16,-1.3299999999999965
17,-22.780000000000083
18,-16.790000000000003
19,-9.289999999999997
20,-5.409999999999994
21,-9.90999999999998
22,-4.389999999999993
23,-1.3499999999999934
24,-13.869999999999983
25,-4.409999999999996
26,-10.89999999999998
27,-12.879999999999987
28,-21.79000000000002
29,-11.88999999999999
30,-12.879999999999983
31,-24.76000000000004
32,-8.91999999999999
33,-11.889999999999981
34,-10.899999999999988
35,-15.849999999999982
36,-13.869999999999981
37,-7.4899999999999896
38,-15.849999999999982
39,-12.879999999999983
40,-7.929999999999982
41,-13.869999999999989
42,-11.889999999999983
43,-3.449999999999994
44,-8.919999999999986
45,-8.919999999999986
46,-5.949999999999987
47,-8.919999999999982
48,-10.89999999999998
49,-15.849999999999982
50,-3.969999999999991
51,-11.889999999999986
52,-6.93999999999998
53,-4.959999999999992
54,-10.899999999999983
55,-7.929999999999989
56,-6.939999999999981
57,-5.9499999999999815
58,-7.929999999999982
59,-7.92999999999998
60,-7.92999999999998
61,-5.949999999999983
62,-7.929999999999991
63,-4.95999999999999
64,-4.959999999999985
65,-6.939999999999981
66,-0.4700000000000002
67,-8.919999999999984
68,-3.9699999999999855
69,-0.4900000000000002
70,-4.959999999999987
71,-2.979999999999999
72,-1.9900000000000007
73,-1.0000000000000007
74,-5.94999999999998
75,-2.9799999999999986
76,0.69
77,-2.9799999999999964
78,-1.9900000000000007
79,-1.9900000000000009
80,-3.9699999999999935
81,-4.959999999999981
82,-1.0000000000000007
83,-6.939999999999982
84,-5.94999999999998
85,-2.9799999999999924
86,-1.0000000000000007
87,-1.9900000000000007
88,-1.0000000000000007
89,-1.9900000000000007
90,-4.959999999999997
91,-3.9699999999999975
92,-2.9799999999999955
93,-2.979999999999981
94,-1.9900000000000009
95,-1.0000000000000007
96,-2.979999999999995
97,-1.9900000000000007
98,-1.9900000000000007
99,-2.9799999999999924
100,-1.0000000000000007
101,-1.0000000000000007
102,-1.0000000000000007
103,-4.9599999999999795
104,0.83
105,-1.9900000000000007
106,-2.9799999999999995
107,-1.9900000000000007
108,-3.969999999999987
109,-1.0000000000000007
110,-1.9900000000000007
111,-2.9799999999999986
112,-3.229999999999995
113,-2.980000000000001
114,-1.0000000000000007
115,-1.0000000000000007
116,-2.9799999999999986
117,-1.9900000000000007
118,-1.9900000000000007
119,-1.9900000000000007
120,-3.9699999999999935
121,-1.9900000000000007
122,-2.9799999999999995
123,-1.9900000000000009
124,-1.0000000000000007
125,-1.0000000000000007
126,-2.9799999999999995
127,-1.0000000000000007
128,-1.9900000000000007
129,-2.9800000000000004
130,-2.9799999999999915
131,-3.969999999999984
132,-1.9900000000000007
133,-4.959999999999992
134,-2.9799999999999924
135,-2.9799999999999898
136,-4.9599999999999955
137,-7.9299999999999855
138,-1.9900000000000007
139,-2.9799999999999986
140,-1.9900000000000009
141,-1.0000000000000007
142,-2.979999999999988
143,-1.9900000000000007
144,-1.9900000000000007
145,-3.96999999999999
146,-1.9900000000000007
147,-1.9900000000000007
148,-1.9900000000000007
149,-2.9799999999999915
150,-1.0000000000000007
151,-2.9799999999999995
152,-2.9799999999999844
153,-1.9900000000000007
154,-4.95999999999998
155,-1.0000000000000007
156,-1.9900000000000009
157,-1.9900000000000007
158,-3.9699999999999793
159,-1.9900000000000007
160,-3.969999999999988
161,-1.0000000000000007
162,-1.9900000000000007
163,-1.0000000000000007
164,-1.0000000000000007
165,-1.9900000000000009
166,-3.969999999999999
167,-4.959999999999984
168,-7.9299999999999855
169,-1.9900000000000007
170,-1.9900000000000009
171,-1.9900000000000007
172,-1.0000000000000007
173,-1.9900000000000007
174,-1.0000000000000007
175,-1.0000000000000007
176,-1.9900000000000007
177,-1.9900000000000009
178,-1.0000000000000007
179,-1.0000000000000007
180,-3.969999999999996
181,-1.9900000000000009
182,-1.0000000000000007
183,-1.0000000000000007
184,-6.939999999999991
185,-1.0000000000000007
186,-4.959999999999985
187,-2.97999999999998
188,-1.0000000000000007
189,-1.9900000000000007
190,-1.0000000000000007
191,-1.0000000000000007
192,-1.0000000000000007
193,-1.0000000000000007
194,-2.98
195,-1.0000000000000007
196,-1.0000000000000007
197,-1.9900000000000007
198,-1.9900000000000009
199,-1.0000000000000007
2025-12-19T01:40:41,rl_logan_v1,200,0.6984000000000001,1.3949999999999998,-37.00000000000006
2025-12-19T01:41:10,rl_logan_v1,200,0.6984000000000001,1.3949999999999998,-37.00000000000006
2025-12-19T01:58:26,rl_logan_v1,200,0.6984000000000001,1.3949999999999998,-37.00000000000006
2025-12-19T02:15:46,rl_logan_v1,200,-28.38120000000003,-0.5,-54.220000000000056
2025-12-19T22:01:50,rl_logan_v1,200,-28.38990000000004,1.3949999999999998,-54.83000000000007
2025-12-20T19:32:43,rl_logan_v1,200,1.2170999999999998,1.3949999999999998,-46.51000000000006
